a-hydrocort	A-HYDROCORT
bismuth subcitrate potassium	BISMUTH SUBCITRATE POTASSIUM
bisoprolol fumarate	BISOPROLOL FUMARATE
bisoprolol fumarate and hydrochlorothiazide	BISOPROLOL FUMARATE AND HYDROCHLOROTHIAZIDE
bivalirudin	BIVALIRUDIN
blenoxane	BLENOXANE
blenrep	BLENREP
bleomycin sulfate	BLEOMYCIN SULFATE
bleph-10	BLEPH-10
blinatumomab	BLINATUMOMAB
blincyto	BLINCYTO
blisovi fe 1.5/30	BLISOVI FE 1.5/30
blisovi fe 1/20	BLISOVI FE 1/20
blujepa	BLUJEPA
boncresa	BONCRESA
bonjesta	BONJESTA
borofair	BOROFAIR
bortezomib	BORTEZOMIB
bosaya	BOSAYA
bosentan	BOSENTAN
bosulif	BOSULIF
bosutinib	BOSUTINIB
bosutinib monohydrate	BOSUTINIB MONOHYDRATE
branchamin 4%	BRANCHAMIN 4%
branchamin 4% in plastic container	BRANCHAMIN 4% IN PLASTIC CONTAINER
brensocatib	BRENSOCATIB
brenzavvy	BRENZAVVY
brethaire	BRETHAIRE
bretylium tosylate	BRETYLIUM TOSYLATE
bretylium tosylate in dextrose 5% in plastic container	BRETYLIUM TOSYLATE IN DEXTROSE 5% IN PLASTIC CONTAINER
brevicon 21-day	BREVICON 21-DAY
brevicon 28-day	BREVICON 28-DAY
brexanolone	BREXANOLONE
brexpiprazole	BREXPIPRAZOLE
breyna	BREYNA
breztri aerosphere	BREZTRI AEROSPHERE
briellyn	BRIELLYN
brilinta	BRILINTA
brimonidine tartrate	BRIMONIDINE TARTRATE
brimonidine tartrate and timolol maleate	BRIMONIDINE TARTRATE AND TIMOLOL MALEATE
brineura	BRINEURA
brinsupri	BRINSUPRI
brinzolamide	BRINZOLAMIDE
bristacycline	BRISTACYCLINE
bristamycin	BRISTAMYCIN
brivaracetam	BRIVARACETAM
brodalumab	BRODALUMAB
bromday	BROMDAY
bromfed-dm	BROMFED-DM
bromfenac sodium	BROMFENAC SODIUM
bromocriptine mesylate	BROMOCRIPTINE MESYLATE
bromodiphenhydramine hydrochloride	BROMODIPHENHYDRAMINE HYDROCHLORIDE
bromodiphenhydramine hydrochloride and codeine phosphate	BROMODIPHENHYDRAMINE HYDROCHLORIDE AND CODEINE PHOSPHATE
brompheniramine maleate	BROMPHENIRAMINE MALEATE
brompheniramine maleate, pseudoephedrine hydrochloride and dextromethorphan hydrobromide	BROMPHENIRAMINE MALEATE, PSEUDOEPHEDRINE HYDROCHLORIDE AND DEXTROMETHORPHAN HYDROBROMIDE
broncho saline	BRONCHO SALINE
bronitin mist	BRONITIN MIST
bronkometer	BRONKOMETER
bronkosol	BRONKOSOL
brukinsa	BRUKINSA
bryhali	BRYHALI
brynovin	BRYNOVIN
bss plus	BSS PLUS
bucapsol	BUCAPSOL
budesonide	BUDESONIDE
bulevirtide-gmod	BULEVIRTIDE-GMOD
bumetanide	BUMETANIDE
bumex	BUMEX
bupivacaine	BUPIVACAINE
